Method, Time, Distance
Bus, 15 to 30 minutes, 1-5 miles
Bus, 15 to 30 minutes, 5-10 miles
Bus, 30 minutes to 1 hour, 5-10 miles
CTA, 15 to 30 minutes, 1-5 miles
CTA, 15 to 30 minutes, 1-5 miles
CTA, 15 to 30 minutes, 1-5 miles
CTA, 15 to 30 minutes, 1-5 miles
CTA, 15 to 30 minutes, 1-5 miles
CTA, 30 minutes to 1 hour, 1-5 miles
CTA, 30 minutes to 1 hour, 1-5 miles
CTA, 1+ Hour, 10-30 miles
CTA, 1+ Hour, 10-30 miles
CTA, 15 to 30 minutes, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
CTA, 30 minutes to 1 hour, 5-10 miles
Cycle, Less than 15 minutes, 1-5 miles
Cycle, 15 to 30 minutes, 1-5 miles
Cycle, 15 to 30 minutes, 1-5 miles
Cycle, Less than 15 minutes, 1-5 miles
Cycle, Less than 15 minutes, 1-5 miles
Cycle, Less than 15 minutes, 1-5 miles
Cycle, 30 minutes to 1 hour, 5-10 miles
Drive, 30 minutes to 1 hour, 5-10 miles
Metra, 30 minutes to 1 hour, 10-30 miles
Metra, 1+ Hour, 10-30 miles
Metra, 1+ Hour, 10-30 miles
Metra, 1+ Hour, 10-30 miles
Metra, 30 minutes to 1 hour, 10-30 miles
Metra, 30 minutes to 1 hour, 10-30 miles
Metra, 30 minutes to 1 hour, 10-30 miles
Metra, 30 minutes to 1 hour, 10-30 miles
Metra, 1+ Hour, More than 30 miles
Metra, 1+ Hour, More than 30 miles
Metra, 1+ Hour, More than 30 miles
Metra, 1+ Hour, More than 30 miles
Metra, 1+ Hour, More than 30 miles
Walk, 15 to 30 minutes, 1-5 miles
Walk, 15 to 30 minutes, 1-5 miles
Walk, 15 to 30 minutes, 1-5 miles
Walk, 15 to 30 minutes, 1-5 miles
Walk, Less than 15 minutes, 1-5 miles
Walk, Less than 15 minutes, 1-5 miles
